contract_id,name,candidate_cik,candidate_name,method,score,confirmed
c_cd61e13c7a,WORLDWIDESTRATEGIESINC,1589580,"WORLD WIDE STRATEGIES, INC.",edgar_name_index_exact_ambiguous,1.0,
c_cd61e13c7a,WORLDWIDESTRATEGIESINC,1342792,WORLDWIDE STRATEGIES INC,edgar_name_index_exact_ambiguous,1.0,
c_cd61e13c7a,WORLDWIDESTRATEGIESINC,1973742,"WORLDWIDE STAGES, INC.",edgar_name_index_fuzzy,0.8824,
c_d8a76f1c78,ImperialGardenResortInc,1688470,"IMPERIAL GARDEN & RESORT, INC.",edgar_name_index_fuzzy,0.9302,
c_25b3d080a6,UPJOHN INC,102237,UPJOHN CO,edgar_name_index_exact_ambiguous,1.0,
c_25b3d080a6,UPJOHN INC,1792044,UPJOHN INC,edgar_name_index_exact_ambiguous,1.0,
c_25b3d080a6,UPJOHN INC,1886726,ZUPO JOHN,edgar_name_index_fuzzy,0.8571,
c_25b3d080a6,UPJOHN INC,1066952,LUPO JOHN,edgar_name_index_fuzzy,0.8571,
c_25b3d080a6,UpjohnInc,102237,UPJOHN CO,edgar_name_index_exact_ambiguous,1.0,
c_25b3d080a6,UpjohnInc,1792044,UPJOHN INC,edgar_name_index_exact_ambiguous,1.0,
c_25b3d080a6,UpjohnInc,1886726,ZUPO JOHN,edgar_name_index_fuzzy,0.8571,
c_25b3d080a6,UpjohnInc,1066952,LUPO JOHN,edgar_name_index_fuzzy,0.8571,
c_308cd249db,TELEGLOBEINTERNATIONALHOLDINGSLTD,1269086,TELEGLOBE INTERNATIONAL HOLDINGS LTD,edgar_name_index_exact_ambiguous,1.0,
c_308cd249db,TELEGLOBEINTERNATIONALHOLDINGSLTD,1278739,TELEGLOBE INTERNATIONAL HOLDINGS LTD,edgar_name_index_exact_ambiguous,1.0,
c_308cd249db,TELEGLOBEINTERNATIONALHOLDINGSLTD,1982012,Ten-League International Holdings Ltd,tickers_fuzzy,0.9,
c_308cd249db,TELEGLOBEINTERNATIONALHOLDINGSLTD,1447637,BELLE INTERNATIONAL HOLDINGS LTD,edgar_name_index_fuzzy,0.8929,
c_308cd249db,"Global One Communications Network, Inc.",1375829,RRSAT GLOBAL COMMUNICATIONS NETWORK LTD.,edgar_name_index_fuzzy,0.871,
c_308cd249db,"Global One Communications Network, Inc.",1290731,"GRANDE COMMUNICATIONS NETWORKS, INC.",edgar_name_index_fuzzy,0.8621,
c_308cd249db,"Global One Communications Network, Inc.",1140674,GLOBAL ONE COMMUNICATIONS PTY LTD,edgar_name_index_fuzzy,0.8571,
c_308cd249db,Onelink Cable Network Limited,1502878,"LINKABLE NETWORKS, INC.",edgar_name_index_fuzzy,0.8571,
